"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw","depth_top","depth_bot","depth_mid","habitat_class","growth_cycle","sd_imputed","yi_raw","vi","yi","obs"
"R38","Relationship among vegetation types and soil microbial biomass in the Loess Hilly region of China","36.254","109.3153","field","Forest","bushes","n/a","n/a","Robiniapseudoacacia L.","Fabaceae","n/a","invasive",NA,NA,"SOC","T1","SOC","%","0-20",2.26,0.467653718043597,3,1.08,0.155884572681199,3,-0.738403772,"0-20",0,20,10,"forest",NA,FALSE,-0.738403772148066,0.0212172927489319,-0.742067974078088,106
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","T3","SOC","g/kg","0-20",44.83,2.23,9,38.2,2.21,9,-0.160042043,"0-20",0,20,10,"forest","annual",FALSE,-0.160042042554819,0.000646825510562774,-0.159993564615096,107
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","T3","SOC","g/kg","0-20",44.83,2.23,9,38.2,2.21,9,-0.160042043,"0-20",0,20,10,"forest","annual",FALSE,-0.160042042554819,0.000646825510562774,-0.159993564615096,108
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","T3","SOC","g/kg","0-20",44.83,2.23,9,38.2,2.21,9,-0.160042043,"0-20",0,20,10,"forest","annual",FALSE,-0.160042042554819,0.000646825510562774,-0.159993564615096,109
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","T3","SOC","g/kg","0-20",44.83,2.23,9,38.2,2.21,9,-0.160042043,"0-20",0,20,10,"forest","annual",FALSE,-0.160042042554819,0.000646825510562774,-0.159993564615096,110
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","30.1830-30.2455","119.2347-119.2827","field","turereserve","forest","n/a","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"SOC","T1","SOC","g/kg","0-20",39.02,9.48,10,32.34,2.42,10,-0.187769481,"0-20",0,20,10,NA,"annual",FALSE,-0.187769481046004,0.0064625354410037,-0.190440796894601,111
"R44","Significant changes in soil microbial community structure and metabolic function after Mikania micrantha invasion","23.1305-23.1943","114.1921-114.2706","field","Forest","forest","MyrtaceaeJuss.","n/a","Mikaniamicrantha KunthinHumb.&al.","AsteraceaeBercht.&J.Presl","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","0-10",27.32,4.26,6,26.77,5.5,6,-0.020337177,"0-10",0,10,5,"forest","perennial",FALSE,-0.0203371771703283,0.0110875615516702,-0.0188457427520707,112
"R45","Impacts of Ipomoea cairica and Wedelia trilobata invasion on soil chemical and microbiological characteristics","23.09","113.21","field","hill","Neyraudiareyudia","Poaceae","perennial","Ipomoeacairica (L.)Sweet)","Convolvulaceae","perennial","invasive",NA,NA,"SOC","T2","SOC","g/kg","0-10",12.09,1.46,4,24.5,2.56,4,0.706294453,"0-10",0,10,5,"grassland","perennial",FALSE,0.70629445292398,0.00637533169583271,0.705836316438829,113
"R45","Impacts of Ipomoea cairica and Wedelia trilobata invasion on soil chemical and microbiological characteristics","23.09","113.21","field","hill","Neyraudiareyudia","Poaceae","perennial","Sphagneticolatrilobata(L.)Pruski","AsteraceaeBercht.&J.Presl","perennial","invasive",15.3,1022,"SOC","T2","SOC","g/kg","0-10",12.09,1.46,4,18.2,1.23,4,0.409042929,"0-10",0,10,5,"grassland","perennial",FALSE,0.409042929456048,0.00478764812463827,0.4077909511853,114
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","0-20",1.18861209964412,0.06,3,1.40569395017793,0.43,3,0.169636397,"0-20",0,20,10,"wetland_coastal","perennial",FALSE,0.167744771924424,0.0320407230813325,0.182915755574165,115
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","20-40",0.94306049822064,0.1,3,1.23843416370106,0.06,3,0.276986783,"20-40",20,40,30,"wetland_coastal","perennial",FALSE,0.272472653788247,0.00453041228600049,0.270989859456582,116
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","40-60",0.9288256227758,0.03,3,1.06761565836298,0.05,3,0.140229341,"40-60",40,60,50,"wetland_coastal","perennial",FALSE,0.139262067333499,0.00107885895318626,0.139453758227277,117
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","60-80",0.921708185053381,0.07,3,1.01067615658362,0.05,3,0.09333194,"60-80",60,80,70,"wetland_coastal","perennial",FALSE,0.0921461764616582,0.00273841625557453,0.0915927890209039,118
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","80-100",0.786476868327402,0.06,3,0.854092526690391,0.07,3,0.073203404,"80-100",80,100,90,"wetland_coastal","perennial",FALSE,0.0824762218242382,0.00417909012209735,0.0826257328974488,119
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","Bolboschoenoplectusmariqueter (Tang&F.T.Wang)Tatanov","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","0-20",0.588045234248788,0.04,3,0.962843295638126,0.03,3,0.486810748,"0-20",0,20,10,"wetland_coastal","perennial",FALSE,0.49308679942861,0.00186593096417268,0.492477435079355,120
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","Bolboschoenoplectusmariqueter (Tang&F.T.Wang)Tatanov","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","20-40",0.668820678513731,0.05,3,0.988691437802908,0.04,3,0.390427231,"20-40",20,40,30,"wetland_coastal","perennial",FALSE,0.390866308687013,0.00240854569625054,0.390207639381685,121
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","Bolboschoenoplectusmariqueter (Tang&F.T.Wang)Tatanov","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","40-60",0.617124394184168,0.05,3,0.936995153473344,0.05,3,0.416160397,"40-60",40,60,50,"wetland_coastal","perennial",FALSE,0.41760749493389,0.00313730117100739,0.416988014483146,122
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","Bolboschoenoplectusmariqueter (Tang&F.T.Wang)Tatanov","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","60-80",0.539579967689822,0.05,3,0.798061389337641,0.08,3,0.393042588,"60-80",60,80,70,"wetland_coastal","perennial",FALSE,0.391394524211222,0.00621179439730698,0.391638174347115,123
"R46","Effects of Spartina alterniflora invasion on soil carbon dynamics in wetlands of the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","Bolboschoenoplectusmariqueter (Tang&F.T.Wang)Tatanov","Cyperaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","F5","SOC","kg/m2","80-100",0.390953150242326,0.04,3,0.432956381260097,0.04,3,0.09763847,"80-100",80,100,90,"wetland_coastal","perennial",FALSE,0.102049254354171,0.00633457277275067,0.101727152492931,124
"R47","Spartina alterniflora invasion affects methane emissions in the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","T1","SOC","mg/g","0-20",2.03,0.08,4,3.36,0.14,4,0.503905181,"0-20",0,20,10,"wetland_coastal","perennial",FALSE,0.503905180921417,0.000822292477236634,0.503928062460576,125
"R47","Spartina alterniflora invasion affects methane emissions in the Yangtze River estuary","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"SOC","T1","SOC","mg/g","0-20",0.66,0.08,4,3.77,0.26,4,1.742590445,"0-20",0,20,10,"wetland_coastal","perennial",FALSE,1.74259044542159,0.00486215522427824,1.74134842845154,126
"R48","Non-linear impacts of Eucalyptus plantation stand age on soil microbial metabolic diversity","22.14-22.21","107.47-107.56","field","Forestfarm","Pinusmassonia Lamb.","PiceaeSpreng.exF.Rudolphi","n/a","EucalyptusurophyllaS.T.Blake&Eucalyptusgrandis W.HillexMaiden","MyrtaceaeJuss.","n/a","turalized",NA,NA,"SOC","T1","SOC","g/kg","0-10",13.35,0.85,3,17.17,0.79,3,0.25164729,"0-10",0,10,5,"forest",NA,FALSE,0.251647290063126,0.00205696198172053,0.251324463933205,127
"R49","Changes in plant community and soil ecological indicators in response to Prosopis juliflora and Acacia mearnsii invasion and removal in two biodiversity hotspots in Southern India","10.2942","79.8579","field","plain","n/a","n/a","n/a","Prosopisjuliflora (Sw.)DC.","Fabaceae","n/a","turalized",29.5,1250,"SOC","T2","SOC","mg/g","0-10",6.7,1.13142307293221,12,7.9,1.30561772878187,12,0.164755233,"0-10",0,10,5,"grassland",NA,TRUE,0.164755233076055,0.00465252600597714,0.164705097902087,128
"R49","Changes in plant community and soil ecological indicators in response to Prosopis juliflora and Acacia mearnsii invasion and removal in two biodiversity hotspots in Southern India","10.2942","79.8579","field","plain","n/a","n/a","n/a","Acaciapolystachya A.Cunn_exBenth.","Fabaceae","n/a","turalized",29.5,1250,"SOC","T2","SOC","mg/g","0-10",119,20.0954247281989,12,142,23.4680655046868,12,0.176703564,"0-10",0,10,5,"grassland",NA,TRUE,0.176703564489731,0.00465252600597714,0.176653429315763,129
"R51","Biochemical characterization and mycorrhizal fungal community of plant species in the Brazilian seasonal dry forest","-37.82","-6.81","field","n/a","M.tenuiflora","Fabaceae","n/a","Ctenitismadagascariensis","DryopteridaceaeHene","n/a","invasive",28,936.07,"SOC","T1","SOC","g/kg","0-20",2.1,0.18,12,4.59,0.27,12,0.781942679,"0-20",0,20,10,NA,NA,FALSE,0.781942679343076,0.000900595532330579,0.781780732211283,130
"R52","Characteristics of Particulate Organic Carbon and Nitrogen in Soil of Leucaena leucocephala Plantation in the Dry-hot Valley","25.31-26.07","101.36-102.07","field","rivervalley","TermiliafranchetiiGagnep.\PhyllanthusemblicaLinn.\Dodoeaviscosa(L.)Jacq)\(OsteomelesschwerieSchneid.)\(DiospyrosdumetorumW.W.Smith)","n/a","n/a","Leucaeleucocephala(Lam.)deWit","Fabaceae","n/a","invasive",NA,NA,"SOC","T2","SOC","g/kg","0-10",13.42,2.42,4,61.06,15.31,4,1.51515856,"0-10",0,10,5,"wetland_coastal",NA,FALSE,1.5151108557632,0.0238467933585614,1.51890471737126,131
"R53","Response of bacterial community characteristics in the rhizosphere soil of Stellera chamaejasme L. to its expansion on the Qinghai-Tibet Plateau","30.3-30.4","101.37-101.43","field","plateau","n/a","n/a","n/a","Stellerachamaejasme L.","ThymelaeaceaeJuss.","n/a","invasive",7,NA,"SOC","T1","SOC","g/kg","0-20",50.79,1.71,3,54.5,2.6,3,0.070501217,"0-20",0,20,10,"grassland",NA,FALSE,0.0705012168560448,0.00113647998285225,0.0706916110985496,132
"R58","Transition From Sagebrush Steppe to Annual Grass (Bromus tectorum): Influence on Belowground Carbon and Nitrogen","n/a","n/a","field","grassland","Artemisiatridentata Nutt.","AsteraceaeBercht.&J.Presl","n/a","Bromustectorum L.","Poaceae","annual","invasive",NA,NA,"SOC","F3","SOC","mg/ha","9cm-1m",44.5384615384615,3.23,4,38.5384615384615,3.23,4,-0.144690999,"9cm-1m",NA,NA,NA,"grassland","annual",FALSE,-0.144696376488131,0.0030709737770706,-0.144475734815425,133
"R59","Chromoleana odorata fallow-cropping cycles maintain soil carbon stocks and yam yields 40 years after conversion of native- to farmland, implications for forest conservation","4.55-5.00","6.10-6.15","field","forest&grassland","forest","Lecaniodiscuscupanioides(Sapindaceae),Dialiumguineense(Caesalpiniaceae),Antiarisafrica(Moraceae),Diospyrosmespiliformis
(Ebeceae),Colagigantea(Sterculiaceae),Olaxsubscorpioidea(Olacaceae),Mimusopskumel(Sapotaceae),Milletiazechi
(Fabaceae),Griffoniasimplicifolia(Caesalpiniaceae),Celtisprantlii(Ulmaceae),Olyralatifolia(Poaceae),Uvariaovata(Annoceae)","n/a","Chromolaeodorata (L.)R.M.King&H.Rob.)","AsteraceaeBercht.&J.Presl","perennial","invasive",27.9,1218,"SOC","T4","SOC","g/kg","0-10",21.9,3.35410196624968,5,23.4,4.91934955049954,5,0.066249386,"0-10",0,10,5,"forest","perennial",FALSE,0.0662493855412007,0.0135305256581678,0.0683233366795359,134
"R59","Chromoleana odorata fallow-cropping cycles maintain soil carbon stocks and yam yields 40 years after conversion of native- to farmland, implications for forest conservation","4.55-5.00","6.10-6.15","field","forest&grassland","forest","Lecaniodiscuscupanioides(Sapindaceae),Dialiumguineense(Caesalpiniaceae),Antiarisafrica(Moraceae),Diospyrosmespiliformis
(Ebeceae),Colagigantea(Sterculiaceae),Olaxsubscorpioidea(Olacaceae),Mimusopskumel(Sapotaceae),Milletiazechi
(Fabaceae),Griffoniasimplicifolia(Caesalpiniaceae),Celtisprantlii(Ulmaceae),Olyralatifolia(Poaceae),Uvariaovata(Annoceae)","n/a","Chromolaeodorata (L.)R.M.King&H.Rob.)","AsteraceaeBercht.&J.Presl","perennial","invasive",27.9,1218,"SOC","T4","SOC","g/kg","10-20",12.7,1.78885438199983,5,13.3,3.35410196624968,5,0.046162042,"10-20",10,20,15,"forest","perennial",FALSE,0.0461620417631626,0.0166877772841983,0.0505379224692459,135
"R59","Chromoleana odorata fallow-cropping cycles maintain soil carbon stocks and yam yields 40 years after conversion of native- to farmland, implications for forest conservation","4.55-5.00","6.10-6.15","field","forest&grassland","forest","Lecaniodiscuscupanioides(Sapindaceae),Dialiumguineense(Caesalpiniaceae),Antiarisafrica(Moraceae),Diospyrosmespiliformis
(Ebeceae),Colagigantea(Sterculiaceae),Olaxsubscorpioidea(Olacaceae),Mimusopskumel(Sapotaceae),Milletiazechi
(Fabaceae),Griffoniasimplicifolia(Caesalpiniaceae),Celtisprantlii(Ulmaceae),Olyralatifolia(Poaceae),Uvariaovata(Annoceae)","n/a","Chromolaeodorata (L.)R.M.King&H.Rob.)","AsteraceaeBercht.&J.Presl","perennial","invasive",27.9,1218,"SOC","T4","SOC","g/kg","20-40",8,1.34164078649987,5,7.6,2.01246117974981,5,-0.051293294,"20-40",20,40,30,"forest","perennial",FALSE,-0.0512932943875506,0.0196485457063712,-0.047094021534365,136
"R59","Chromoleana odorata fallow-cropping cycles maintain soil carbon stocks and yam yields 40 years after conversion of native- to farmland, implications for forest conservation","4.55-5.00","6.10-6.15","field","forest&grassland","grassland","Brideliaferruginea(Euphorbiacea),Cussoniabarteri(Araliaceae),Crossopteryxfebrifuga(Rubiaceae),Termiliaglaucescens
(Combretaceae),Annosenegalensis(Annoceae),Piliostigmathonningii(Ceasalpiniaceae),Borassusaethiopum(Araceae),
Hyparrheniadiplandra(Poaceae),Imperatacylindrica(Poaceae),Andropogonschirensis(Poaceae)","n/a","Chromolaeodorata (L.)R.M.King&H.Rob.)","AsteraceaeBercht.&J.Presl","perennial","invasive",27.9,1218,"SOC","T4","SOC","g/kg","0-10",10.2,5.59016994374947,5,14.2,2.23606797749979,5,0.330854244,"0-10",0,10,5,"forest","perennial",FALSE,0.33085424431699,0.0650323822929562,0.303297386636094,137
"R59","Chromoleana odorata fallow-cropping cycles maintain soil carbon stocks and yam yields 40 years after conversion of native- to farmland, implications for forest conservation","4.55-5.00","6.10-6.15","field","forest&grassland","grassland","Brideliaferruginea(Euphorbiacea),Cussoniabarteri(Araliaceae),Crossopteryxfebrifuga(Rubiaceae),Termiliaglaucescens
(Combretaceae),Annosenegalensis(Annoceae),Piliostigmathonningii(Ceasalpiniaceae),Borassusaethiopum(Araceae),
Hyparrheniadiplandra(Poaceae),Imperatacylindrica(Poaceae),Andropogonschirensis(Poaceae)","n/a","Chromolaeodorata (L.)R.M.King&H.Rob.)","AsteraceaeBercht.&J.Presl","perennial","invasive",27.9,1218,"SOC","T4","SOC","g/kg","10-20",6.8,3.35410196624968,5,8.7,2.23606797749979,5,0.246400413,"10-20",10,20,15,"forest","perennial",FALSE,0.246400413478477,0.0618709544623145,0.228676721159461,138
"R59","Chromoleana odorata fallow-cropping cycles maintain soil carbon stocks and yam yields 40 years after conversion of native- to farmland, implications for forest conservation","4.55-5.00","6.10-6.15","field","forest&grassland","grassland","Brideliaferruginea(Euphorbiacea),Cussoniabarteri(Araliaceae),Crossopteryxfebrifuga(Rubiaceae),Termiliaglaucescens
(Combretaceae),Annosenegalensis(Annoceae),Piliostigmathonningii(Ceasalpiniaceae),Borassusaethiopum(Araceae),
Hyparrheniadiplandra(Poaceae),Imperatacylindrica(Poaceae),Andropogonschirensis(Poaceae)","n/a","Chromolaeodorata (L.)R.M.King&H.Rob.)","AsteraceaeBercht.&J.Presl","perennial","invasive",27.9,1218,"SOC","T4","SOC","g/kg","20-40",5.2,1.78885438199983,5,5.2,2.68328157299975,5,0,"20-40",20,40,30,"forest","perennial",FALSE,0,0.076923076923077,0.0147928994082841,139
"R60","Effects of the invasion of Ambrosia artemisiifolia and Bidens pilosa on soil microbial community structures and carbon metabolic pathways","39.3042","116.3607","greenhouse","Homogeneousorchardsinthefield","Setariaviridis (L.)P.Beauv.","Poaceae","annual","AmbrosiaartemisiifoliaL.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,513,"SOC","F2-1","SOC","g/kg","n/a",10.7999999999999,0.225,5,12.94,0.225,5,0.180777155,"n/a",NA,NA,NA,"forest","annual",FALSE,0.18077715494259,0.000147273677358958,0.180763986225714,140
"R60","Effects of the invasion of Ambrosia artemisiifolia and Bidens pilosa on soil microbial community structures and carbon metabolic pathways","39.3042","116.3607","greenhouse","Homogeneousorchardsinthefield","Melilotusofficilis (L.)Pall.","Fabaceae","perennial","AmbrosiaartemisiifoliaL.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,513,"SOC","F2-1","SOC","g/kg","n/a",9.33749999999999,0.225,5,12.9374999999999,0.1125,5,0.326017037,"n/a",NA,NA,NA,"forest","annual",FALSE,0.326091520566646,0.000131250032585303,0.326041018423699,141
"R60","Effects of the invasion of Ambrosia artemisiifolia and Bidens pilosa on soil microbial community structures and carbon metabolic pathways","39.3042","116.3607","greenhouse","Homogeneousorchardsinthefield","Chenopodiumalbum L.","Amaranthaceae","annual","AmbrosiaartemisiifoliaL.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,513,"SOC","F2-1","SOC","g/kg","n/a",8.8875,0.337,5,12.9374999999999,0.337,5,0.37539624,"n/a",NA,NA,NA,"forest","annual",FALSE,0.375484275896221,0.000423264269377236,0.375408346643747,142
"R60","Effects of the invasion of Ambrosia artemisiifolia and Bidens pilosa on soil microbial community structures and carbon metabolic pathways","39.3042","116.3607","greenhouse","Homogeneousorchardsinthefield","Setariaviridis (L.)P.Beauv.","Poaceae","annual","Bidenspilosa L.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,513,"SOC","F2-1","SOC","g/kg","n/a",10.9325153374233,0,5,14.1349693251533,0.3312,5,0.256788895,"n/a",NA,NA,NA,"forest","annual",FALSE,0.256910413785023,0.000109804695312501,0.256965316132679,143
"R60","Effects of the invasion of Ambrosia artemisiifolia and Bidens pilosa on soil microbial community structures and carbon metabolic pathways","39.3042","116.3607","greenhouse","Homogeneousorchardsinthefield","Melilotusofficilis (L.)Pall.","Fabaceae","perennial","Bidenspilosa L.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,513,"SOC","F2-1","SOC","g/kg","n/a",8.94478527607361,0.331,5,14.2453987730061,0.331,5,0.466221318,"n/a",NA,NA,NA,"forest","annual",FALSE,0.465363249689232,0.000381849429353843,0.465280303343057,144
"R60","Effects of the invasion of Ambrosia artemisiifolia and Bidens pilosa on soil microbial community structures and carbon metabolic pathways","39.3042","116.3607","greenhouse","Homogeneousorchardsinthefield","Chenopodiumalbum L.","Amaranthaceae","annual","Bidenspilosa L.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,513,"SOC","F2-1","SOC","g/kg","n/a",9.38650306748466,0,5,14.1349693251533,0.33,5,0.408654903,"n/a",NA,NA,NA,"forest","annual",FALSE,0.409379007429296,0.000109010450575088,0.409433512654583,145
"R61","The effects of Spartina alterniflora seaward invasion on soil organic carbon fractions, sources and distribution","33.35-33.38","120.30-120.40","field","beach","n/a","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T2","SOC","mg/g","0-20",1.05,0.15,3,6.35,0.3,3,1.799664649,"0-20",0,20,10,"wetland_coastal","perennial",FALSE,1.79966464873517,0.00754672257643835,1.79663528893495,146
"R2","Alien vs. native plants in a Patagonian wetland elemental ratios and ecosystem stoichiometric impacts","-41.07","-71.27","field","n/a","Eleocharispachycarpa","Cyperaceae","perennial","Potentillaanseri","Rosaceae","perennial","invasive",NA,208.31,"DOC","F5","DOC","mg C/L","n/a",356.626506024096,26.506,55,751.807228915662,43.383471084338,55,0.745784803,"n/a",NA,NA,NA,NA,"perennial",FALSE,0.745790914045368,0.000160982344280424,0.745770967124009,147
"R2","Alien vs. native plants in a Patagonian wetland elemental ratios and ecosystem stoichiometric impacts","-41.07","-71.27","field","n/a","Carexaematorrhyncha","Cyperaceae","perennial","Potentillaanseri","Rosaceae","perennial","invasive",NA,208.31,"DOC","F5","DOC","mg C/L","n/a",479.518072289156,113.253,55,751.807228915662,43.383471084338,55,0.449698029,"n/a",NA,NA,NA,NA,"perennial",FALSE,0.44969836308499,0.00107475166519477,0.449221531503174,148
"R5","Bacterial Succession in Salt Marsh Soils Along a Short-term Invasion Chronosequence of Spartina alterniflora in the Yellow River Estuary, China","31.3-31.17","121.46-122.15","field","wetland","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"DOC","T2","DOC","mg/kg","n/a",9.7,2.56,3,29.12,7.14,3,1.099299338,"n/a",NA,NA,NA,"wetland_coastal","perennial",FALSE,1.09929933781915,0.0432572427205749,1.09771047237602,149
"R5","Bacterial Succession in Salt Marsh Soils Along a Short-term Invasion Chronosequence of Spartina alterniflora in the Yellow River Estuary, China","31.3-31.17","121.46-122.15","field","wetland","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"DOC","T2","DOC","mg/kg","n/a",8.23,1.93,3,42.59,19.33,3,1.643833469,"n/a",NA,NA,NA,"wetland_coastal","perennial",FALSE,1.64383346924614,0.0869950135038646,1.66899965793354,150
"R5","Bacterial Succession in Salt Marsh Soils Along a Short-term Invasion Chronosequence of Spartina alterniflora in the Yellow River Estuary, China","31.3-31.17","121.46-122.15","field","wetland","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"DOC","T2","DOC","mg/kg","n/a",5.97,1.13,3,0.82,0.36,3,-1.985197866,"n/a",NA,NA,NA,"wetland_coastal","perennial",FALSE,-1.98519786612835,0.0761897440574952,-1.95904526641409,151
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"DOC","F3","DOC","g/kg","0-10",73.9946380697051,12.5469,3,99.4101876675603,9.9731,3,0.295322763,"0-10",0,10,5,NA,"perennial",FALSE,0.29526196797455,0.0129389776114019,0.292147361600649,152
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"DOC","F3","DOC","g/kg","10-20",54.3699731903485,7.7212,3,62.4128686327077,3.5389,3,0.137912988,"10-20",10,20,15,NA,"perennial",FALSE,0.137959444140254,0.00779417389503312,0.135134041912508,153
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"DOC","F3","DOC","g/kg","20-30",40.5361930294906,8.6863,3,41.1796246648793,12.2252,3,0.015663561,"20-30",20,30,25,NA,"perennial",FALSE,0.0157483569681382,0.0446842770763224,0.0227844684842308,154
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"DOC","F3","DOC","g/kg","30-40",41.1796246648793,2.5737,3,39.8927613941018,3.5389,3,-0.031827036,"30-40",30,40,35,NA,"perennial",FALSE,-0.0317486983145809,0.00392523065290481,-0.0310881394661315,155
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"DOC","F3","DOC","g/kg","40-50",31.5281501340482,4.1823,3,31.8498659517426,3.5389,3,0.010097908,"40-50",40,50,45,NA,"perennial",FALSE,0.010152371464019,0.00998088257774986,0.00927721699417164,156
